year,eea_cell_code,speciesKey,n,min_coord_uncertainty
1912,1kmE4814N3271,4438078,2,1000
1912,1kmE4814N3271,4448796,2,1000
1912,1kmE4814N3271,4450482,3,1000
1912,1kmE4814N3271,4450783,1,1000
1912,1kmE4814N3271,4450917,1,1000
1912,1kmE4814N3271,4450954,1,1000
1912,1kmE4814N3271,4451244,1,1000
1912,1kmE4814N3271,4452227,2,1000
1912,1kmE4814N3271,4452580,1,1000
1912,1kmE4814N3271,4454749,1,1000
1912,1kmE4814N3271,4457477,1,1000
1912,1kmE4814N3271,4470040,2,1000
1912,1kmE4814N3271,4470298,1,1000
1912,1kmE4814N3271,4471071,2,1000
1912,1kmE4814N3271,4472913,3,1000
1912,1kmE4814N3271,4988363,1,1000
1912,1kmE4814N3271,4989308,1,1000
1912,1kmE4814N3271,4989405,1,1000
1912,1kmE4814N3271,4994128,1,1000
1912,1kmE4814N3271,4994132,1,1000
1912,1kmE4814N3271,5744989,2,1000
1912,1kmE4814N3271,5746279,1,1000
1912,1kmE4814N3271,5748820,1,1000
1912,1kmE4814N3271,5749351,1,1000
1912,1kmE4814N3271,5749359,1,1000
1912,1kmE4814N3271,5750452,2,1000
1912,1kmE4814N3271,5752970,3,1000
1912,1kmE4814N3271,5753725,1,1000
1912,1kmE4814N3271,5755004,1,1000
1912,1kmE4814N3271,5755075,1,1000
1912,1kmE4814N3271,5755296,2,1000
1912,1kmE4814N3271,5874130,1,1000
1912,1kmE4814N3271,5878072,6,1000
1912,1kmE4814N3271,6097318,1,1000
1912,1kmE4814N3271,6097745,1,1000
1912,1kmE4814N3271,6097800,3,1000
1912,1kmE4814N3271,6097852,1,1000
1912,1kmE4814N3271,6097867,1,1000
1912,1kmE4814N3271,7370589,1,1000
1912,1kmE4814N3271,7458371,3,1000
1912,1kmE4814N3271,7748881,1,1000
1912,1kmE4814N3271,7805462,2,1000
1912,1kmE4814N3271,7825487,1,1000
1912,1kmE4814N3271,9726179,2,1000
1912,1kmE4814N3271,9750962,1,1000
1912,1kmE4814N3271,10595482,1,1000
1912,1kmE4815N3270,1043318,1,1000
1912,1kmE4815N3270,4427239,1,1000
1912,1kmE4815N3270,5874130,1,1000
1912,1kmE4815N3271,4988207,1,1000
1912,1kmE4815N3271,5749654,1,1000
1912,1kmE4815N3271,5750461,1,1000
1912,1kmE4815N3271,5878072,1,1000
1912,1kmE4815N3271,10216621,1,1000
1912,1kmE5076N3127,4525803,1,1000
1912,1kmE5216N3201,1144296,1,1000
1912,1kmE5216N3202,5819538,1,1000
1912,1kmE5216N3202,7648359,1,1000
1912,1kmE5216N3202,8062927,1,1000
1912,1kmE5216N3202,8323161,1,1000
1912,1kmE5217N3201,8196495,1,1000
1912,1kmE5217N3201,9529616,1,1000
1912,1kmE5217N3202,4431637,1,1000
1912,1kmE5217N3202,4431645,1,1000
1912,1kmE5217N3202,4431707,1,1000
1912,1kmE5217N3202,5001643,1,1000
1912,1kmE5217N3202,8111934,1,1000
1912,1kmE5217N3202,9165522,1,1000
