speciesKey,scientificName,rank,taxonomicStatus,kingdom,includes
5220081,"Lagenorhynchus albirostris (Gray, 1846)",SPECIES,ACCEPTED,Animalia,"5220081: Lagenorhynchus albirostris (Gray, 1846)"
5220086,"Megaptera novaeangliae (Borowski, 1781)",SPECIES,ACCEPTED,Animalia,"5220086: Megaptera novaeangliae (Borowski, 1781) | 9809568: Megaptera novaeangliae (Brisson, 1762)"
5220114,"Rangifer tarandus (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"5220114: Rangifer tarandus (Linnaeus, 1758)"
5220126,"Capreolus capreolus (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"5220126: Capreolus capreolus (Linnaeus, 1758) | 7261379: Capreolus capreolus capreolus"
5220136,"Dama dama (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"5220136: Dama dama (Linnaeus, 1758) | 7973622: Cervus dama Linnaeus, 1758"
5706764,"Myodes glareolus (Schreber, 1780)",SPECIES,ACCEPTED,Animalia,"2439140: Clethrionomys glareolus (Schreber, 1780) | 5706764: Myodes glareolus (Schreber, 1780)"
5707150,"Pipistrellus pygmaeus (Leach, 1825)",SPECIES,ACCEPTED,Animalia,"5707150: Pipistrellus pygmaeus (Leach, 1825)"
5846758,"Megaloceros giganteus (Blumenbach, 1799)",SPECIES,ACCEPTED,Animalia,"5846758: Megaloceros giganteus (Blumenbach, 1799)"
7261816,"Eptesicus nilssonii (Keyserling & Blasius, 1839)",SPECIES,ACCEPTED,Animalia,"7261816: Eptesicus nilssonii (Keyserling & Blasius, 1839)"
7261875,"Myotis brandtii (Eversmann, 1845)",SPECIES,ACCEPTED,Animalia,"7261875: Myotis brandtii (Eversmann, 1845)"
7422937,"Bubalus bubalis (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"7422937: Bubalus bubalis (Linnaeus, 1758)"
7429082,"Mus musculus Linnaeus, 1758",SPECIES,ACCEPTED,Animalia,"4264885: Mus musculus musculus | 4264886: Mus musculus domesticus Schwarz & Schwarz, 1943 | 7429082: Mus musculus Linnaeus, 1758"
7571319,"Sorex minutus Linnaeus, 1766",SPECIES,ACCEPTED,Animalia,"7571319: Sorex minutus Linnaeus, 1766"
7705930,"Sus scrofa Linnaeus, 1758",SPECIES,ACCEPTED,Animalia,"7705930: Sus scrofa Linnaeus, 1758 | 7792440: Sus domesticus Erxleben, 1777"
7872906,"Talpa europaea Linnaeus, 1758",SPECIES,ACCEPTED,Animalia,"7872906: Talpa europaea Linnaeus, 1758"
7952072,"Lepus europaeus Pallas, 1778",SPECIES,ACCEPTED,Animalia,"7952072: Lepus europaeus Pallas, 1778"
7964291,"Felis silvestris Schreber, 1777",SPECIES,ACCEPTED,Animalia,"7964291: Felis silvestris Schreber, 1777"
8123917,"Physeter macrocephalus Linnaeus, 1758",SPECIES,ACCEPTED,Animalia,"2440352: Physeter catodon Linnaeus, 1758 | 8123917: Physeter macrocephalus Linnaeus, 1758"
8211070,"Sciurus vulgaris Linnaeus, 1758",SPECIES,ACCEPTED,Animalia,"5706707: Sciurus vulgaris fuscoater Altum, 1876 | 7261608: Sciurus vulgaris vulgaris | 8211070: Sciurus vulgaris Linnaeus, 1758 | 10347932: BOLD:AAE9374"
8316400,"Sorex araneus Linnaeus, 1758",SPECIES,ACCEPTED,Animalia,"8316400: Sorex araneus Linnaeus, 1758"
8324617,"Delphinus delphis Linnaeus, 1758",SPECIES,ACCEPTED,Animalia,"8324617: Delphinus delphis Linnaeus, 1758"
8538919,"Gryphoca nordica Koretsky, Rahmat & Peters, 2014",SPECIES,ACCEPTED,Animalia,"8538919: Gryphoca nordica Koretsky, Rahmat & Peters, 2014"
8626788,"Pontophoca jutlandica Koretsky, Rahmat & Peters, 2014",SPECIES,ACCEPTED,Animalia,"8626788: Pontophoca jutlandica Koretsky, Rahmat & Peters, 2014"
8632988,"Uranocetus gramensis Steeman, 2009",SPECIES,ACCEPTED,Animalia,"8632988: Uranocetus gramensis Steeman, 2009"
8674031,"Platyphoca danica Koretsky, Rahmat & Peters, 2014",SPECIES,ACCEPTED,Animalia,"8674031: Platyphoca danica Koretsky, Rahmat & Peters, 2014"
8815801,"Dagonodum mojnum Ramassamy, 2016",SPECIES,ACCEPTED,Animalia,"8815801: Dagonodum mojnum Ramassamy, 2016"
9434472,"Mesocetus argillarius (Roth, 1978)",SPECIES,ACCEPTED,Animalia,"8455876: Tranatocetus argillarius (Roth, 1978)"
9542814,"Ovis gmelini Linnaeus, 1758",SPECIES,ACCEPTED,Animalia,"9542814: Ovis gmelini Linnaeus, 1758"
9754263,"Myotis mystacinus (Kuhl, 1817)",SPECIES,ACCEPTED,Animalia,"9754263: Myotis mystacinus (Kuhl, 1817)"
