speciesKey,scientificName,rank,taxonomicStatus,kingdom,includes
1040469,"Stenus canaliculatus Gyllenhal, 1827",SPECIES,ACCEPTED,Animalia,"1040469: Stenus canaliculatus Gyllenhal, 1827"
1040505,"Stenus biguttatus (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"1040505: Stenus biguttatus (Linnaeus, 1758)"
1040526,"Stenus juno (Paykull, 1789)",SPECIES,ACCEPTED,Animalia,"1040526: Stenus juno (Paykull, 1789)"
1040606,"Stenus argus Gravenhorst, 1806",SPECIES,ACCEPTED,Animalia,"1040606: Stenus argus Gravenhorst, 1806"
1040723,"Aleochara bilineata Gyllenhal, 1810",SPECIES,ACCEPTED,Animalia,"1040723: Aleochara bilineata Gyllenhal, 1810"
1040758,"Aleochara fumata Gravenhorst, 1802",SPECIES,ACCEPTED,Animalia,"1040758: Aleochara fumata Gravenhorst, 1802"
1040775,"Aleochara lanuginosa Gravenhorst, 1802",SPECIES,ACCEPTED,Animalia,"1040775: Aleochara lanuginosa Gravenhorst, 1802"
1040779,"Aleochara bipustulata (Linnaeus, 1760)",SPECIES,ACCEPTED,Animalia,"10565508: Aleochara nitida Gravenhorst, 1802"
1041060,"Atheta sodalis (Erichson, 1837)",SPECIES,ACCEPTED,Animalia,"1041060: Atheta sodalis (Erichson, 1837)"
1041085,"Atheta longicornis (Gravenhorst, 1802)",SPECIES,ACCEPTED,Animalia,"1041085: Atheta longicornis (Gravenhorst, 1802)"
1041091,"Atheta nigritula (Gravenhorst, 1802)",SPECIES,ACCEPTED,Animalia,"1041091: Atheta nigritula (Gravenhorst, 1802)"
1041094,"Atheta pallidicornis (C.G.Thomson, 1856)",SPECIES,ACCEPTED,Animalia,"1041094: Atheta pallidicornis (C.G.Thomson, 1856)"
1041424,"Homalota plana (Gyllenhal, 1810)",SPECIES,ACCEPTED,Animalia,"1041424: Homalota plana (Gyllenhal, 1810)"
1041499,"Nehemitropia lividipennis (Mannerheim, 1830)",SPECIES,ACCEPTED,Animalia,"9562123: Oxypoda lividipennis Mannerheim, 1830"
1041545,"Gyrophaena affinis C.Sahlberg, 1834",SPECIES,DOUBTFUL,Animalia,"1041545: Gyrophaena affinis C.Sahlberg, 1834"
1041551,"Gyrophaena nana (Paykull, 1800)",SPECIES,ACCEPTED,Animalia,"1041551: Gyrophaena nana (Paykull, 1800)"
1041768,"Geostiba circellaris (Gravenhorst, 1806)",SPECIES,ACCEPTED,Animalia,"1041768: Geostiba circellaris (Gravenhorst, 1806)"
1041879,"Gabrius nigritulus (Gravenhorst, 1802)",SPECIES,ACCEPTED,Animalia,"1041879: Gabrius nigritulus (Gravenhorst, 1802) | 10186088: Philonthus nigritulus Gravenhorst, 1802"
1042006,"Oxypoda opaca (Gravenhorst, 1802)",SPECIES,ACCEPTED,Animalia,"1042006: Oxypoda opaca (Gravenhorst, 1802)"
1042095,"Trimium brevicorne (Reichenbach, 1816)",SPECIES,ACCEPTED,Animalia,"1042095: Trimium brevicorne (Reichenbach, 1816)"
1042204,"Amischa analis (Gravenhorst, 1802)",SPECIES,ACCEPTED,Animalia,"1042204: Amischa analis (Gravenhorst, 1802) | 1042205: Leptusa haemorrhoidalis (Heer, 1839)"
1042212,"Dinaraea angustula (Gyllenhal, 1810)",SPECIES,ACCEPTED,Animalia,"1042212: Dinaraea angustula (Gyllenhal, 1810)"
1042278,"Bledius gallicus (Gravenhorst, 1806)",SPECIES,ACCEPTED,Animalia,"1042279: Bledius fracticornis (Paykull, 1790)"
1042354,"Bledius opacus (Block, 1799)",SPECIES,ACCEPTED,Animalia,"1042354: Bledius opacus (Block, 1799)"
1042420,"Placusa tachyporoides (Waltl, 1838)",SPECIES,ACCEPTED,Animalia,"9872929: Placusa infima Erichson, 1839"
1042573,"Sphaerius acaroides Waltl, 1838",SPECIES,ACCEPTED,Animalia,"1042573: Sphaerius acaroides Waltl, 1838"
1042787,"Mycetaea subterranea (Fabricius, 1801)",SPECIES,ACCEPTED,Animalia,"1042788: Mycetaea hirta (Marsham, 1802)"
1043066,"Hippodamia tredecimpunctata (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"1043066: Hippodamia tredecimpunctata (Linnaeus, 1758)"
1043082,"Hippodamia variegata (Goeze, 1777)",SPECIES,ACCEPTED,Animalia,"8564681: Adonia variegata (Goeze, 1777)"
1043097,"Adalia bipunctata (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"1043097: Adalia bipunctata (Linnaeus, 1758)"
1043102,"Brumus quadripustulatus (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"5877963: Exochomus quadripustulatus (Linnaeus, 1758)"
1043118,"Harmonia quadripunctata (Pontoppidan, 1763)",SPECIES,ACCEPTED,Animalia,"1043118: Harmonia quadripunctata (Pontoppidan, 1763)"
1043318,"Subcoccinella vigintiquatuorpunctata (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"1043318: Subcoccinella vigintiquatuorpunctata (Linnaeus, 1758)"
1043472,"Aphidecta obliterata (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"1043472: Aphidecta obliterata (Linnaeus, 1758)"
1043572,"Propylaea quatuordecimpunctata (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"4452216: Propylea quatuordecimpunctata (Linnaeus, 1758)"
1043916,"Silvanoprus fagi (Guérin-Ménéville, 1844)",SPECIES,ACCEPTED,Animalia,"1043916: Silvanoprus fagi (Guérin-Ménéville, 1844)"
1044161,"Sericoderus lateralis (Gyllenhal, 1827)",SPECIES,ACCEPTED,Animalia,"1044161: Sericoderus lateralis (Gyllenhal, 1827)"
1044325,"Brachypterolus pulicarius (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"11237696: Brachypterus gravidus (Illiger, 1798)"
1044375,"Corticaria elongata (Gyllenhal, 1827)",SPECIES,ACCEPTED,Animalia,"1044375: Corticaria elongata (Gyllenhal, 1827)"
1044381,"Cartodere constricta (Gyllenhal, 1827)",SPECIES,ACCEPTED,Animalia,"5748648: Lathridius constrictus (Gyllenhal, 1827)"
1044952,"Acritus nigricornis (Hoffmann, 1803)",SPECIES,ACCEPTED,Animalia,"1044952: Acritus nigricornis (Hoffmann, 1803)"
1044982,"Margarinotus obscurus (Kugelann, 1792)",SPECIES,ACCEPTED,Animalia,"1044982: Margarinotus obscurus (Kugelann, 1792)"
1044983,"Margarinotus brunneus (Fabricius, 1775)",SPECIES,ACCEPTED,Animalia,"1044983: Margarinotus brunneus (Fabricius, 1775)"
1044984,"Margarinotus purpurascens (Herbst, 1791)",SPECIES,ACCEPTED,Animalia,"1044984: Margarinotus purpurascens (Herbst, 1791)"
1045022,"Atholus bimaculatus (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"1045022: Atholus bimaculatus (Linnaeus, 1758)"
1045119,"Hallomenus binotatus (Quensel, 1790)",SPECIES,ACCEPTED,Animalia,"1045119: Hallomenus binotatus (Quensel, 1790)"
1045471,"Nacerdes melanura (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"1045471: Nacerdes melanura (Linnaeus, 1758)"
1045506,"Typhaea stercorea (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"7514778: Typhaea fumata (Linnaeus, 1767)"
1045541,"Octotemnus glabriculus (Gyllenhal, 1827)",SPECIES,ACCEPTED,Animalia,"1045541: Octotemnus glabriculus (Gyllenhal, 1827)"
1045784,"Cis boleti (Scopoli, 1763)",SPECIES,ACCEPTED,Animalia,"1045784: Cis boleti (Scopoli, 1763)"
1045795,"Rhopalodontus perforatus (Gyllenhal, 1813)",SPECIES,ACCEPTED,Animalia,"1045795: Rhopalodontus perforatus (Gyllenhal, 1813)"
1045833,"Latheticus oryzae C.O.Waterhouse, 1880",SPECIES,ACCEPTED,Animalia,"1045833: Latheticus oryzae C.O.Waterhouse, 1880"
1045839,"Palorus subdepressus (Wollaston, 1864)",SPECIES,ACCEPTED,Animalia,"1045839: Palorus subdepressus (Wollaston, 1864)"
1045842,"Tenebrio obscurus Fabricius, 1792",SPECIES,ACCEPTED,Animalia,"1045842: Tenebrio obscurus Fabricius, 1792"
1045843,"Tenebrio molitor Linnaeus, 1758",SPECIES,ACCEPTED,Animalia,"1045843: Tenebrio molitor Linnaeus, 1758"
1045875,"Alphitobius diaperinus (Panzer, 1797)",SPECIES,ACCEPTED,Animalia,"1045875: Alphitobius diaperinus (Panzer, 1797)"
1046592,"Lytta vesicatoria (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"1046592: Lytta vesicatoria (Linnaeus, 1758)"
1046801,"Notoxus bifasciatus (LeConte, 1847)",SPECIES,ACCEPTED,Animalia,"6989501: Hypulus bifasciatus (Fabricius, 1792)"
1046849,"Omonadus floralis (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"1046853: Anthicus floralis (Linnaeus, 1758)"
1047210,"Aderus populneus (Creutzer, 1796)",SPECIES,ACCEPTED,Animalia,"1047210: Aderus populneus (Creutzer, 1796)"
1047384,"Chrysolina marginata (Linnaeus, 1758)",SPECIES,DOUBTFUL,Animalia,"1047384: Chrysolina marginata (Linnaeus, 1758)"
1047386,"Chrysolina varians (Schaller, 1783)",SPECIES,ACCEPTED,Animalia,"1047386: Chrysolina varians (Schaller, 1783)"
1047396,"Chrysolina staphylaea (Linnaeus, 1758)",SPECIES,DOUBTFUL,Animalia,"1047396: Chrysolina staphylaea (Linnaeus, 1758)"
1047556,"Phaedon armoraciae (Linnaeus, 1758)",SPECIES,DOUBTFUL,Animalia,"1047556: Phaedon armoraciae (Linnaeus, 1758)"
1047568,"Bruchidius cisti (Fabricius, 1775)",SPECIES,ACCEPTED,Animalia,"1047568: Bruchidius cisti (Fabricius, 1775)"
1047875,"Prasocuris phellandrii (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"1047875: Prasocuris phellandrii (Linnaeus, 1758)"
1047936,"Agelastica alni (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"1047936: Agelastica alni (Linnaeus, 1758)"
1048319,"Oulema melanopus (Linnaeus, 1761)",SPECIES,ACCEPTED,Animalia,"1048319: Oulema melanopus (Linnaeus, 1761)"
1048335,"Gastrophysa polygoni (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"10593518: Gastroidea polygoni (Linnaeus, 1758)"
1048469,"Psylliodes napi (Fabricius, 1792)",SPECIES,ACCEPTED,Animalia,"1048469: Psylliodes napi (Fabricius, 1792)"
1048626,"Plagiodera versicolora (Laicharting, 1781)",SPECIES,ACCEPTED,Animalia,"1048626: Plagiodera versicolora (Laicharting, 1781)"
1048809,"Lilioceris lilii (Scopoli, 1763)",SPECIES,ACCEPTED,Animalia,"1048809: Lilioceris lilii (Scopoli, 1763)"
1048933,"Pyrrhalta viburni (Paykull, 1799)",SPECIES,ACCEPTED,Animalia,"1048933: Pyrrhalta viburni (Paykull, 1799)"
1049228,"Phyllotreta undulata Kutschera, 1860",SPECIES,ACCEPTED,Animalia,"1049228: Phyllotreta undulata Kutschera, 1860"
1057556,"Rhizotrogus marginipes Mulsant, 1842",SPECIES,ACCEPTED,Animalia,"1057556: Rhizotrogus marginipes Mulsant, 1842"
1065353,"Bodiloides ictericus (Laicharting, 1781)",SPECIES,ACCEPTED,Animalia,"1065353: Bodiloides ictericus (Laicharting, 1781)"
1065398,"Euheptaulacus villosus (Gyllenhal, 1806)",SPECIES,ACCEPTED,Animalia,"1065398: Euheptaulacus villosus (Gyllenhal, 1806)"
1066009,"Limarus zenkeri (Germar, 1813)",SPECIES,ACCEPTED,Animalia,"1066009: Limarus zenkeri (Germar, 1813)"
1066430,"Euorodalus coenosus (Panzer, 1798)",SPECIES,ACCEPTED,Animalia,"1066430: Euorodalus coenosus (Panzer, 1798)"
1066444,"Euorodalus paracoenosus (Balthasar & Hrubant, 1960)",SPECIES,ACCEPTED,Animalia,"1066444: Euorodalus paracoenosus (Balthasar & Hrubant, 1960)"
1066660,"Rhyssemus puncticollis Brown, 1929",SPECIES,ACCEPTED,Animalia,"1066660: Rhyssemus puncticollis Brown, 1929"
1066682,"Rhodaphodius foetens (Fabricius, 1787)",SPECIES,ACCEPTED,Animalia,"1066686: Aphodius foetens (Fabricius, 1787)"
1066713,"Oxyomus sylvestris (Scopoli, 1763)",SPECIES,ACCEPTED,Animalia,"1066713: Oxyomus sylvestris (Scopoli, 1763)"
1066804,"Nialus varians (Duftschmid, 1805)",SPECIES,ACCEPTED,Animalia,"1066804: Nialus varians (Duftschmid, 1805)"
1067209,"Trichonotulus scrofa (Fabricius, 1787)",SPECIES,ACCEPTED,Animalia,"1067209: Trichonotulus scrofa (Fabricius, 1787)"
